Date,Solar Radiation (W/m²) 
05/15/2024,168
05/16/2024,188
05/17/2024,279
05/18/2024,288
05/19/2024,264
05/20/2024,317
05/21/2024,315
05/22/2024,339
05/23/2024,357
05/24/2024,191
05/25/2024,359
05/26/2024,142
05/27/2024,179
05/28/2024,300
05/29/2024,322
05/30/2024,387
05/31/2024,336
06/01/2024,102
06/02/2024,220
06/03/2024,342
06/04/2024,270
06/05/2024,146
06/06/2024,366
06/07/2024,372
06/08/2024,209
06/09/2024,344
06/10/2024,259
06/11/2024,387
06/12/2024,345
06/13/2024,352
06/14/2024,382
06/15/2024,358
06/16/2024,356
06/17/2024,330
06/18/2024,242
06/19/2024,353
06/20/2024,344
06/21/2024,350
06/22/2024,297
06/23/2024,285
06/24/2024,369
06/25/2024,84
06/26/2024,144
06/27/2024,386
06/28/2024,166
06/29/2024,210
06/30/2024,364
07/01/2024,372
07/02/2024,344
07/03/2024,219
07/04/2024,103
07/05/2024,208
07/06/2024,344
07/07/2024,322
07/08/2024,278
07/09/2024,67
07/10/2024,316
07/11/2024,264
07/12/2024,309
07/13/2024,338
07/14/2024,198
07/15/2024,305
